UID,Name,StudentID,Major,DateTime
82-9B-37-06-28,Kiari,911676767,Jungler,2026-07-02 14:52:49
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 14:52:53
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 14:53:32
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 14:54:13
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 14:54:23
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 14:54:53
82-9B-37-06-28,Kiari,911676767,Jungler,2026-07-02 14:54:55
82-9B-37-06-28,Kiari,911676767,Jungler,2026-07-02 15:12:24
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 15:12:28
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 15:13:34
82-9B-37-06-28,Kiari,911676767,Jungler,2026-07-02 15:16:10
61-A9-B3-17-6C,ACYRA,992676767,Mid-Laner,2026-07-02 15:16:17
